Symbol,Name,DowComposite,Nasdaq100,Russell1000,Russell2000,S&P100,S&P500,S&P400,S&P600,WatchList,Sector,Full_Time_Employees,Industry,Previous_Close,Days_Range,Market_Cap,Earnings_Date,_52_Week_Range,Volume,PE_Ratio_TTM,Beta,_1y_Target_Est,EPS_TTM,Forward_Dividend_and_Yield,Ex_Dividend_Date,Open,Avg_Volume
GNL,Global Net Lease Inc,0,0,0,1,0,0,0,0,0,,,,19.55,19.29 - 19.64,1.299B,"Feb 26, 2018",19.29 - 25.25,"386,682",41.64,,26.00,0.46,2.13 (10.91%),2018-03-07,19.59,"311,606"
GNMK,Genmark Diagnostics,0,0,0,1,0,0,0,0,0,Healthcare,308,Medical Appliances & Equipment,4.73,4.57 - 4.76,252.057M,"Feb 26, 2018",3.63 - 13.67,"357,944",,-0.07,11.00,-1.22,N/A (N/A),,4.76,"700,531"
GNRC,Generac Holdings Inc,0,0,0,1,0,0,0,0,0,Industrial Goods,"3,608",Diversified Machinery,49.02,48.95 - 49.70,3.063B,"Feb 12, 2018",33.77 - 53.78,"252,764",25.90,1.08,52.63,1.9,0.00 (0.00%),2013-06-10,49.10,"466,576"
GNRT,Gener8 Maritime Inc,0,0,0,1,0,0,0,0,0,,,,6.37,6.25 - 6.43,526.25M,"Mar 12, 2018",4.17 - 6.94,"455,187",,,6.60,-1.41,N/A (N/A),,6.42,"400,352"
GNTX,Gentex Corp,0,0,1,0,0,0,1,0,0,Consumer Goods,"5,315",Auto Parts,22.66,22.68 - 23.14,6.53B,"Jan 26, 2018",16.59 - 23.14,"2,480,504",18.25,1.19,20.50,1.26,0.40 (1.86%),2018-01-04,22.77,"1,874,022"
GNTY,Guaranty Bancshares Inc,0,0,0,1,0,0,0,0,0,,,,31.31,31.35 - 31.73,350.902M,,28.00 - 35.76,"3,670",20.35,,32.00,1.56,0.56 (1.82%),2017-12-22,31.62,"18,276"
GNW,Genworth Financial Inc,0,0,0,1,0,0,1,0,0,Financial,"3,400",Life Insurance,3.20,3.16 - 3.24,1.612B,"Apr 26, 2017",3.01 - 4.23,"2,706,687",4.78,2.83,3.75,0.68,0.00 (0.00%),2008-10-08,3.20,"3,992,274"
GOGO,Gogo Inc,0,0,0,1,0,0,0,0,0,Technology,"1,183",Diversified Communication Services,10.45,10.33 - 10.67,898.098M,"Feb 26, 2018",8.56 - 14.76,"792,996",,1.09,11.91,-1.99,N/A (N/A),,10.48,"1,274,438"
GOLF,Acushnet Holdings Corp,0,0,0,1,0,0,0,0,0,Services,"5,171",Sporting Goods Stores,21.09,21.12 - 21.47,1.597B,,15.16 - 21.48,"111,916",20.32,,7.50,1.05,0.48 (2.30%),2017-04-11,21.16,"413,795"
GOOD,Gladstone Comml,0,0,0,1,0,0,0,0,0,,,,19.94,19.67 - 20.19,549.681M,"Feb 14, 2018",19.07 - 23.35,"146,340",,1.13,24.00,-0.04,1.50 (7.54%),2017-12-18,19.89,"164,125"
GOOG,Alphabet Class C,0,1,1,0,1,1,0,0,0,Technology,"78,101",Internet Information Providers,"1,105.52","1,101.15 - 1,124.29",782.633B,,"790.52 - 1,124.29","1,720,533",37.51,1.04,"1,100.86",29.92,N/A (N/A),,"1,102.41","1,334,392"
GOOGL,Alphabet Class A,0,1,1,0,1,1,0,0,0,Technology,"78,101",Internet Information Providers,"1,112.05","1,108.01 - 1,131.30",781.748B,"Feb 1, 2018","812.05 - 1,131.30","1,929,306",37.79,1.01,"1,189.17",29.92,N/A (N/A),,"1,110.10","1,506,223"
GORO,Gold Resource Corp,0,0,0,1,0,0,0,0,0,Basic Materials,13,Gold,4.49,4.47 - 4.69,265.114M,"May 2, 2017",3.08 - 6.27,"624,474",42.36,1.03,3.50,0.11,0.02 (0.46%),2018-01-10,4.50,"339,346"
GOV,Government Properties Income Trust,0,0,0,1,0,0,0,1,0,,,,17.82,17.67 - 17.87,1.754B,"Feb 20, 2018",17.67 - 19.60,"499,669",33.00,1.23,18.21,0.54,1.72 (9.62%),2017-10-20,17.85,"625,872"
GPC,Genuine Parts Company,0,0,1,0,0,1,0,0,0,Services,"40,000","Specialty Retail, Other",101.90,101.63 - 103.39,15.142B,"Feb 19, 2018",79.86 - 103.39,"1,026,097",23.11,1.06,97.57,4.47,2.70 (2.72%),2017-12-07,101.95,"831,447"
GPI,Group 1 Automotive,0,0,0,1,0,0,0,1,0,Services,"14,200",Auto Dealerships,80.60,80.61 - 83.45,1.662B,"Feb 1, 2018",51.62 - 84.47,"152,958",13.12,1.68,81.57,6.29,1.00 (1.28%),2017-11-30,80.85,"259,865"
GPK,Graphic Packaging Holding Company,0,0,1,0,0,0,0,0,0,Consumer Goods,"13,000",Packaging & Containers,16.68,16.40 - 16.73,5.141B,"Feb 6, 2018",12.00 - 16.73,"1,893,463",32.68,1.27,17.05,0.51,0.30 (1.85%),2017-12-14,16.73,"3,128,973"
GPMT,Granite Point Mortgage Trust Inc,0,0,0,1,0,0,0,0,0,,,,17.55,17.50 - 17.70,757.479M,,17.02 - 19.30,"272,979",32.03,,19.13,0.55,1.52 (8.69%),2017-12-28,17.56,"669,817"
GPN,Global Payments Inc,0,0,1,0,0,1,0,0,0,Services,"8,760",Business Services,104.00,102.96 - 104.55,16.433B,"Apr 4, 2017",75.88 - 106.52,"843,457",63.39,1.04,112.77,1.63,0.04 (0.04%),2017-12-14,104.55,"1,072,615"
GPOR,Gulfport Energy Corp,0,0,1,0,0,0,1,0,0,Basic Materials,241,Independent Oil & Gas,13.02,12.93 - 13.42,2.446B,"Feb 12, 2018",10.90 - 22.35,"2,171,859",58.09,0.32,19.08,0.23,N/A (N/A),,13.00,"3,332,874"
GPRE,Green Plains Inc,0,0,0,1,0,0,0,1,0,Basic Materials,"1,294",Specialty Chemicals,,17.45 - 17.95,,"Feb 6, 2018",15.60 - 26.05,,,,,,0.48 (2.75%),,,
GPRO,Gopro Inc Cl A,0,0,0,1,0,0,0,0,0,Consumer Goods,"1,254",Photographic Equipment & Supplies,6.15,6.04 - 6.27,851.965M,"Jan 29, 2018",5.04 - 11.89,"5,148,029",,1.31,7.56,-1.76,N/A (N/A),,6.13,"5,609,746"
GPS,Gap Inc,0,0,1,0,0,1,0,0,0,Services,"135,000",Apparel Stores,33.19,33.03 - 34.23,13.171B,"Mar 1, 2018",21.02 - 35.24,"4,803,321",15.61,0.59,29.90,2.17,0.92 (2.88%),2018-01-02,33.16,"5,436,414"
GPT,Gramercy Property Trust,0,0,0,1,0,0,0,0,0,Financial,96,REIT - Diversified,26.56,26.00 - 26.63,4.253B,"Feb 26, 2018",25.21 - 31.26,"1,022,335",56.92,0.78,80.73,0.46,1.50 (5.64%),2017-12-28,26.57,"903,925"
GPX,Gp Strategies Corp,0,0,0,1,0,0,0,0,0,Services,"3,378",Education & Training Services,25.90,25.85 - 26.65,443.926M,"Oct 30, 2017",22.30 - 31.25,"58,099",22.23,0.77,29.67,1.19,N/A (N/A),,26.00,"47,968"
GRA,W.R. Grace & Company,0,0,1,0,0,0,0,0,0,Basic Materials,"3,700",Specialty Chemicals,73.86,73.33 - 74.10,4.985B,"Feb 6, 2018",65.84 - 77.37,"751,285",33.85,1.18,84.54,2.17,0.84 (1.16%),2017-11-14,74.08,"742,260"
GRBK,Green Brick Partners,0,0,0,1,0,0,0,0,0,Financial,220,Real Estate Development,11.80,11.55 - 11.80,591.839M,"May 11, 2017",8.00 - 12.20,"20,590",18.66,1.52,11.50,0.63,N/A (N/A),,11.80,"82,809"
GRC,Gorman-Rupp Company,0,0,0,1,0,0,0,0,0,Industrial Goods,"1,180",Diversified Machinery,32.22,31.75 - 32.56,843.243M,"Feb 1, 2018",23.55 - 33.50,"25,412",35.61,1.38,37.00,0.91,0.50 (1.59%),2017-11-14,32.39,"41,573"
GRIF,Griffin Industrial,0,0,0,1,0,0,0,0,0,Financial,33,Property Management,37.05,37.25 - 37.44,187.22M,"Feb 8, 2018",27.71 - 37.44,"1,340",29.23,1.04,,1.28,0.40 (1.08%),2017-11-30,37.44,"3,625"
GRMN,Garmin Ltd,0,0,1,0,0,1,0,0,0,Technology,"11,600",Scientific & Technical Instruments,61.42,61.37 - 61.98,11.618B,"Feb 20, 2018",47.03 - 63.15,"1,483,275",16.89,0.74,57.44,3.67,2.04 (3.37%),2018-03-14,61.47,"1,089,755"
GRPN,Groupon Cl A,0,0,0,1,0,0,0,0,0,Technology,"8,323",Internet Information Providers,5.25,5.07 - 5.21,2.853B,"Feb 13, 2018",2.90 - 5.99,"10,974,460",,2.02,5.37,-0.16,N/A (N/A),,5.13,"8,422,795"
GRUB,Grubhub Inc,0,0,0,1,0,0,0,0,0,Technology,"1,518",Internet Information Providers,68.22,68.60 - 70.82,6.121B,"Feb 6, 2018",32.43 - 74.81,"1,542,947",103.84,1.63,67.48,0.68,N/A (N/A),,68.74,"1,400,071"
GS,Goldman Sachs Group,1,0,1,0,1,1,0,0,0,Financial,"35,800",Investment Brokerage - National,255.13,254.09 - 257.30,96.952B,"Jan 17, 2018",209.62 - 262.14,"2,849,176",13.39,1.51,265.96,19.2,3.00 (1.18%),2017-11-29,255.75,"2,692,428"
GSAT,Globalstar,0,0,0,1,0,0,0,0,0,Technology,344,Wireless Communications,1.30,1.26 - 1.30,1.639B,"Feb 21, 2018",1.11 - 2.59,"1,335,644",,1.47,2.50,-0.17,N/A (N/A),,1.29,"4,122,706"
GSBC,Great Southern Bncp,0,0,0,1,0,0,0,0,0,Financial,939,Regional - Southwest  Banks,52.15,52.00 - 53.05,735.973M,"Jan 23, 2018",47.25 - 58.45,"12,675",14.59,0.91,55.00,3.59,0.96 (1.87%),2017-12-29,52.25,"25,179"
GSIT,Gsi Technology Inc,0,0,0,1,0,0,0,0,0,Technology,156,Semiconductor - Broad Line,8.09,8.07 - 8.29,173.937M,"Oct 25, 2017",5.58 - 9.68,"43,271",,1.19,8.00,-0.21,N/A (N/A),,8.12,"53,787"
GST,Gastar Exploration,0,0,0,1,0,0,0,0,0,Basic Materials,45,Independent Oil & Gas,1.31,1.28 - 1.36,291.193M,"May 4, 2017",0.38 - 2.19,"839,582",,3.27,1.15,-0.3,N/A (N/A),,1.32,"1,218,030"
GT,Goodyear Tire Rubber,0,0,1,0,0,1,0,0,0,Consumer Goods,"66,000",Rubber & Plastics,33.59,33.53 - 34.08,8.353B,"Feb 6, 2018",28.81 - 37.20,"4,295,091",8.69,1.57,36.63,3.9,0.56 (1.67%),2017-10-31,33.53,"2,968,549"
GTHX,G1 Therapeutics Inc,0,0,0,1,0,0,0,0,0,,,,23.22,22.47 - 23.50,653.076M,,12.04 - 28.67,"47,108",,,34.33,-5.2,N/A (N/A),,23.14,"151,414"
GTLS,Chart Industries In,0,0,0,1,0,0,0,1,0,Industrial Goods,"4,050",Metal Fabrication,54.50,54.15 - 54.95,1.687B,"Feb 21, 2018",32.04 - 54.95,"233,371",,1.59,51.78,-0.07,N/A (N/A),,54.23,"292,407"
GTN,Gray Television,0,0,0,1,0,0,0,0,0,Services,"3,700",Broadcasting - TV,17.25,16.65 - 17.40,1.481B,"Feb 27, 2018",9.95 - 17.50,"814,649",9.21,2.36,19.63,1.83,0.00 (0.00%),2008-09-11,17.20,"1,339,079"
GTS,Triple-S Management Corp,0,0,0,1,0,0,0,0,0,Financial,"3,414",Accident & Health Insurance,24.76,24.71 - 25.06,586.114M,"Feb 28, 2018",15.05 - 29.43,"46,013",14.25,0.07,25.00,1.75,N/A (N/A),,24.80,"130,384"
GTT,Global Telcom & Technology Inc,0,0,0,1,0,0,0,0,0,Technology,"1,166",Diversified Communication Services,42.95,42.88 - 43.75,1.895B,,22.95 - 47.75,"136,991",,1.17,43.86,-0.57,N/A (N/A),,43.00,"360,177"
GTY,Getty Realty Corp,0,0,0,1,0,0,0,1,0,Financial,31,REIT - Retail,25.58,25.49 - 25.69,1.012B,"Feb 27, 2018",22.91 - 29.89,"83,591",21.61,0.51,30.00,1.18,1.28 (4.98%),2017-12-20,25.58,"162,517"
GVA,Granite Construction Inc,0,0,0,1,0,0,1,0,0,Industrial Goods,"2,000",Heavy Construction,67.06,66.90 - 67.90,2.676B,"Feb 15, 2018",45.14 - 67.90,"208,242",51.65,1.06,76.57,1.3,0.52 (0.81%),2017-12-28,67.37,"257,630"
GWB,Great Western Bancorp Inc,0,0,0,1,0,0,0,1,0,Financial,"1,542",Money Center Banks,42.87,42.61 - 43.20,2.53B,"Jan 25, 2017",33.27 - 45.62,"208,631",17.54,1.63,46.00,2.45,0.80 (1.93%),2017-11-09,42.99,"224,498"
GWR,Genesee & Wyoming,0,0,1,0,0,0,1,0,0,Services,"8,000",Railroads,83.53,82.90 - 84.24,5.186B,"Feb 6, 2018",61.44 - 84.40,"343,526",39.06,1.92,84.75,2.13,N/A (N/A),,83.78,"345,374"
GWRE,Guidewire Software Inc,0,0,1,0,0,0,0,0,0,Technology,"1,945",Business Software & Services,77.31,76.69 - 78.00,5.941B,"Feb 28, 2018",51.00 - 83.52,"418,779",290.79,1.08,85.63,0.27,N/A (N/A),,77.64,"585,314"
GWRS,Global Water Reso,0,0,0,1,0,0,0,0,0,,,,8.97,8.47 - 8.97,172.363M,"Mar 8, 2018",7.90 - 10.00,"32,475",125.43,,11.08,0.07,0.28 (3.14%),2018-01-12,8.96,"16,804"
GWW,W.W. Grainger,0,0,1,0,0,1,0,0,0,Services,"24,400",Industrial Equipment Wholesale,237.72,235.34 - 239.70,13.429B,"Jan 24, 2018",155.00 - 262.71,"932,861",28.13,0.6,206.80,8.38,5.12 (2.21%),2017-11-10,238.51,"1,048,195"
GXP,Great Plains Energy Inc,0,0,1,0,0,0,1,0,0,Utilities,"2,865",Electric Utilities,30.72,30.33 - 30.66,6.533B,"Feb 21, 2018",26.72 - 34.72,"1,514,031",163.95,0.11,34.17,0.19,1.10 (3.58%),2017-11-28,30.56,"1,352,223"
H,Hyatt Hotels Corp,0,0,1,0,0,0,0,0,0,Services,"45,000",Lodging,78.42,78.38 - 79.20,9.389B,"Feb 14, 2018",50.21 - 79.20,"961,237",47.41,1.22,76.68,1.66,N/A (N/A),,78.49,"786,673"
HA,Hawaiian Hldgs Inc,0,0,0,1,0,0,0,1,0,Services,"6,491",Regional Airlines,38.75,37.85 - 38.90,2.033B,"Jan 22, 2018",32.40 - 59.45,"786,304",10.81,1.44,45.91,3.59,0.48 (1.27%),2017-11-16,38.75,"1,296,890"
HABT,Habit Rest Cmn A,0,0,0,1,0,0,0,0,0,Services,"4,707",Restaurants,9.40,8.85 - 9.60,230.321M,"Feb 28, 2018",8.75 - 19.75,"450,795",37.98,0.9,13.25,0.23,N/A (N/A),,9.40,"514,261"
HAE,Haemonetics Corp,0,0,0,1,0,0,0,1,0,Healthcare,"3,107",Medical Instruments & Supplies,64.76,63.83 - 64.99,3.387B,"Feb 6, 2018",36.44 - 64.99,"869,054",745.58,1.1,55.88,0.09,N/A (N/A),,64.76,"464,558"
HAFC,Hanmi Financial Cp,0,0,0,1,0,0,0,1,0,Financial,638,Regional - Pacific Banks,31.40,30.91 - 32.30,1.036B,"Jan 23, 2018",25.45 - 35.55,"161,546",18.05,0.83,32.00,1.77,0.84 (2.74%),2017-10-27,31.50,"134,755"
HAIN,Hain Celestial Grp,0,0,1,0,0,0,1,0,0,Services,"7,825",Food Wholesale,39.45,39.25 - 39.82,4.09B,"Jan 31, 2018",31.01 - 45.61,"738,530",51.92,1.45,42.63,0.76,N/A (N/A),,39.35,"1,703,046"
HAL,Halliburton Company,0,0,1,0,1,1,0,0,0,Basic Materials,"50,000",Oil & Gas Equipment & Services,53.33,52.68 - 53.52,46.367B,"Jan 22, 2018",38.18 - 58.78,"9,026,830",218.68,1.1,54.00,0.24,0.72 (1.37%),2017-12-06,53.18,"8,237,587"
HALL,Hallmark Fin Svc,0,0,0,1,0,0,0,0,0,Financial,420,Property & Casualty Insurance,10.47,10.32 - 10.47,188.479M,"Mar 7, 2018",9.91 - 11.83,"101,231",,0.77,10.00,-0.26,N/A (N/A),,10.47,"24,350"
HALO,Halozyme Therapeutic,0,0,0,1,0,0,0,0,0,Healthcare,259,Biotechnology,20.06,19.84 - 20.44,2.872B,"Feb 26, 2018",10.74 - 21.13,"802,413",,2.79,21.10,-0.66,N/A (N/A),,20.00,"1,235,976"
HAS,Hasbro Inc,0,1,1,0,0,1,0,0,0,Consumer Goods,"5,400",Toys & Games,92.41,91.93 - 93.77,11.515B,"Feb 5, 2018",80.22 - 116.20,"1,328,847",19.75,0.59,105.00,4.68,2.28 (2.47%),2018-01-31,92.62,"1,507,484"
HASI,Hannon Armstrong Sustainable In,0,0,0,1,0,0,0,0,0,Financial,40,REIT - Diversified,23.00,22.36 - 23.03,1.166B,"Feb 21, 2018",18.02 - 25.28,"268,717",36.44,0.9,27.50,0.62,1.32 (5.92%),2017-12-22,22.90,"292,911"
HAWK,Blackhawk Network Ho,0,0,0,1,0,0,0,0,0,Financial,"3,191",Credit Services,37.00,36.25 - 37.35,2.074B,"Feb 13, 2018",32.60 - 46.70,"735,961",,0.84,44.00,-0.05,N/A (N/A),,37.15,"1,103,288"
HAYN,Haynes Intl Inc,0,0,0,1,0,0,0,1,0,Industrial Goods,"1,124",Metal Fabrication,36.06,35.18 - 36.18,442.722M,"May 4, 2017",28.97 - 43.95,"87,366",,1.6,42.83,-0.83,0.88 (2.54%),2017-11-30,36.16,"81,920"
HBAN,Huntington Bcshs,0,0,1,0,0,1,0,0,0,Financial,"15,508",Regional - Midwest Banks,15.63,15.65 - 15.85,17.133B,"Jan 23, 2018",12.14 - 15.85,"7,951,779",19.24,1.44,16.51,0.82,0.44 (2.84%),2017-12-15,15.70,"8,807,979"
HBB,Horizons CA Select Universe Bond ETF,0,0,0,1,0,0,0,0,0,,,,25.90,25.55 - 28.57,366.037M,,24.56 - 41.00,"59,381",16.08,,26.00,1.66,0.34 (1.29%),2017-11-30,25.91,"49,557"
HBCP,Home Bancorp Inc,0,0,0,1,0,0,0,0,0,,,,43.12,43.06 - 43.85,324.336M,"Jan 22, 2018",32.52 - 47.20,"5,964",17.56,0.17,44.50,2.48,0.56 (1.31%),2017-11-03,43.85,"24,396"
HBHC,Hancock Holding Co,0,0,0,1,0,0,1,0,0,Financial,"3,979",Regional - Southeast Banks,53.90,53.70 - 54.55,4.578B,"Jan 17, 2018",41.05 - 54.55,"534,856",21.62,1.02,57.50,2.49,0.96 (1.81%),2017-12-04,54.20,"498,026"
HBI,Hanesbrands Inc,0,0,1,0,0,1,0,0,0,Consumer Goods,"67,800",Textile - Apparel Clothing,22.34,22.23 - 22.57,8.174B,"Jan 31, 2018",18.90 - 25.73,"3,893,276",13.85,0.18,24.86,1.62,0.60 (2.77%),2017-11-13,22.31,"6,487,028"
HBMD,Howard Bancorp MD,0,0,0,1,0,0,0,0,0,Financial,293,Regional - Mid-Atlantic Banks,23.10,22.75 - 23.60,225.252M,"Jan 17, 2018",15.00 - 24.20,"49,499",32.42,0.02,23.50,0.71,N/A (N/A),,23.15,"25,034"
HBNC,Horizon Bancorp,0,0,0,1,0,0,0,0,0,Financial,665,Regional - Northeast Banks,,,,,,,,,,,,,,
HBP,Huttig Bldg Products,0,0,0,1,0,0,0,0,0,Services,"1,200",Building Materials Wholesale,7.18,7.13 - 7.37,185.041M,"Aug 3, 2017",5.00 - 9.24,"29,024",82.18,1.35,9.75,0.09,N/A (N/A),,7.24,"48,611"
HCA,Hca Holdings Inc,0,0,1,0,0,1,0,0,0,Healthcare,"180,000",Hospitals,86.97,86.72 - 89.03,31.44B,"Jan 29, 2018",71.18 - 91.03,"1,871,335",12.60,0.22,93.67,7.05,0.00 (0.00%),2012-12-13,87.36,"2,675,371"
HCC,Warrior Met Coal Inc,0,0,0,1,0,0,0,0,0,Financial,"1,130",Property & Casualty Insurance,28.52,27.99 - 28.72,1.508B,,0.21 - 30.49,"523,805",0.28,,65.00,102.0,0.20 (0.74%),2017-11-24,28.55,"1,071,595"
HCCI,Heritage-Crystal,0,0,0,1,0,0,0,0,0,Industrial Goods,"1,124",Pollution & Treatment Controls,23.10,23.10 - 24.45,550.259M,"Feb 27, 2018",12.85 - 24.45,"200,579",27.68,1.84,23.10,0.87,N/A (N/A),,23.20,"122,946"
HCHC,Hc2 Holdings Inc,0,0,0,1,0,0,0,0,0,Technology,"2,744",Long Distance Carriers,6.45,6.30 - 6.60,277.703M,"Mar 6, 2018",4.30 - 7.27,"187,749",,1.5,11.50,-2.55,0.00 (0.00%),2013-08-28,6.45,"147,907"
HCI,Homeowners Choice,0,0,0,1,0,0,0,1,0,Financial,331,Property & Casualty Insurance,34.53,34.00 - 34.66,337.673M,"Feb 19, 2018",27.11 - 50.93,"129,331",,1.27,44.50,-1.54,1.40 (4.20%),2017-11-16,34.66,"147,985"
HCKT,Hackett Grp Inc,0,0,0,1,0,0,0,0,0,Services,"1,079",Management Services,15.90,15.81 - 16.10,454.775M,"May 11, 2017",13.24 - 20.69,"58,614",21.16,1.07,19.20,0.75,0.30 (1.88%),2017-12-21,15.90,"99,207"
HCN,Welltower Inc,0,0,1,0,0,1,0,0,0,Financial,466,REIT - Healthcare Facilities,60.17,59.01 - 60.31,21.91B,"Feb 20, 2018",59.01 - 78.17,"2,686,579",23.91,0.25,70.53,2.47,3.48 (5.73%),2017-11-06,60.31,"1,871,784"
HCOM,Hawaiian Telcom Hold,0,0,0,1,0,0,0,0,0,Technology,"1,220",Diversified Communication Services,29.88,29.47 - 30.14,349.262M,"Mar 12, 2018",22.20 - 31.91,"2,070",,0.87,35.00,-8.51,N/A (N/A),,29.47,"18,760"
HCP,HCP Inc,0,0,1,0,0,1,0,0,0,Financial,188,REIT - Healthcare Facilities,24.17,23.61 - 24.15,11.184B,"Feb 12, 2018",23.61 - 33.67,"5,104,205",20.90,0.44,28.13,1.13,1.48 (6.08%),2017-11-03,24.12,"3,692,614"
HCSG,Healthcare Svcs Gp,0,0,0,1,0,0,0,1,0,Services,"48,900",Business Services,52.71,51.86 - 52.82,3.804B,"Feb 5, 2018",37.54 - 55.68,"330,616",43.63,0.64,57.67,1.19,0.76 (1.46%),2017-11-16,52.82,"468,530"
HD,Home Depot,1,0,1,0,1,1,0,0,0,Services,"406,000",Home Improvement Stores,194.68,194.82 - 199.42,229.369B,"Feb 20, 2018",134.60 - 199.42,"6,748,410",27.28,1.02,196.36,7.2,3.56 (1.86%),2017-11-29,195.50,"4,558,277"
HDNG,Hardinge Inc,0,0,0,1,0,0,0,0,0,Industrial Goods,"1,451",Machine Tools & Accessories,18.59,18.49 - 18.78,240.182M,"May 11, 2017",9.51 - 18.78,"57,094",38.17,0.91,14.00,0.49,0.00 (0.00%),2017-05-26,18.60,"53,238"
HDP,Hortonworks,0,0,0,1,0,0,0,0,0,Technology,"1,150",Technical & System Software,20.83,20.71 - 21.49,1.505B,"Feb 7, 2018",8.74 - 22.00,"931,589",,1.63,21.73,-3.35,N/A (N/A),,20.94,"741,763"
HDS,HD Supply Hlds Cmm,0,0,1,0,0,0,0,0,0,Services,"11,000",Industrial Equipment Wholesale,38.96,38.83 - 39.67,7.284B,"Mar 12, 2018",28.97 - 44.73,"2,286,101",7.53,1.4,41.75,5.21,N/A (N/A),,39.11,"2,238,573"
HDSN,Hudson Tech Inc,0,0,0,1,0,0,0,0,0,Industrial Goods,137,Diversified Machinery,6.43,6.33 - 6.50,267.792M,"Aug 3, 2017",5.40 - 10.40,"269,560",18.68,1.43,9.17,0.34,N/A (N/A),,6.45,"591,688"
HE,Hawaiian Electric Industries,0,0,1,0,0,0,1,0,0,Utilities,"3,796",Electric Utilities,34.49,34.27 - 34.57,3.743B,"Feb 12, 2018",31.71 - 38.72,"297,862",21.10,0.39,34.75,1.63,1.24 (3.58%),2017-11-21,34.49,"438,515"
HEES,H&E Equip Services,0,0,0,1,0,0,0,0,0,Services,"1,996",Rental & Leasing Services,40.89,40.61 - 41.32,1.455B,"Feb 21, 2018",17.44 - 41.32,"219,597",40.06,3.62,33.00,1.02,1.10 (2.82%),2017-11-17,41.00,"305,984"
HEI,Heico Corp,0,0,1,0,0,0,0,0,0,Industrial Goods,"5,100",Aerospace/Defense Products & Services,96.12,95.81 - 97.44,7.416B,"Feb 26, 2018",60.00 - 101.40,"185,234",45.37,0.5,106.33,2.14,0.17 (0.18%),2018-01-02,96.57,"229,309"
HEI.A,Heico Cp Cl A,0,0,1,0,0,0,0,0,0,,,,,N/A - N/A,,,undefined - undefined,,,,,,N/A (N/A),,,
HELE,Helen of Troy Ltd,0,0,0,1,0,0,1,0,0,Consumer Goods,"1,685",Housewares & Accessories,97.10,96.75 - 98.20,2.65B,"Jan 3, 2018",85.40 - 102.88,"104,169",19.29,0.48,107.75,5.04,N/A (N/A),,97.30,"152,736"
HES,Hess Corp,0,0,1,0,0,1,0,0,0,Basic Materials,"2,304",Independent Oil & Gas,54.72,53.61 - 55.05,17.33B,"Jan 23, 2018",37.25 - 60.13,"3,675,445",,1.8,51.95,-20.17,1.00 (1.89%),2017-12-15,54.60,"4,253,212"
HF,HFF Inc,0,0,0,1,0,0,0,1,0,Financial,975,Property Management,49.07,48.66 - 49.20,1.804B,"Feb 21, 2018",25.79 - 50.26,"125,137",21.71,1.43,47.00,2.25,0.00 (0.00%),2017-02-07,49.14,"211,220"
HFC,Hollyfrontier Corp,0,0,1,0,0,0,1,0,0,Basic Materials,"2,676",Oil & Gas Refining & Marketing,51.50,51.53 - 52.65,9.212B,"Feb 20, 2018",23.46 - 52.65,"1,815,275",27.61,1.44,47.57,1.9,1.32 (2.57%),2017-11-20,51.75,"2,367,628"
HFWA,Heritage Financial,0,0,0,1,0,0,0,0,0,Financial,760,Regional - Pacific Banks,31.70,30.90 - 32.00,947.176M,"Jan 25, 2018",22.50 - 33.25,"115,658",22.88,0.44,33.40,1.39,0.52 (1.67%),2017-11-07,31.75,"167,484"
HGV,Hilton Grand Vacations Inc,0,0,1,0,0,0,0,0,0,,,,41.98,41.68 - 42.06,4.157B,,24.90 - 43.19,"274,047",22.96,,45.86,1.83,N/A (N/A),,42.01,"486,641"
HHC,Howard Hughes Corp,0,0,1,0,0,0,0,0,0,Financial,"1,100",Real Estate Development,126.45,125.75 - 127.14,5.49B,"Feb 21, 2018",104.63 - 133.08,"156,869",87.33,1.63,158.33,1.46,N/A (N/A),,126.65,"214,296"
HI,Hillenbrand Inc,0,0,0,1,0,0,0,1,0,Industrial Goods,"6,000",Diversified Machinery,45.25,44.60 - 45.35,2.823B,"Jan 30, 2018",34.65 - 46.50,"181,673",22.74,1.36,48.67,1.97,0.83 (1.88%),2017-12-15,45.25,"329,917"
HIBB,Hibbett Sports Inc,0,0,0,1,0,0,0,1,0,Services,"3,200",Sporting Goods Stores,24.75,24.09 - 25.25,465.764M,"Mar 8, 2018",12.60 - 25.25,"1,059,973",13.92,0.58,18.13,1.75,N/A (N/A),,24.85,"824,772"
HIFR,Infrareit Inc,0,0,0,1,0,0,0,0,0,,,,17.85,17.70 - 18.06,1.08B,"Aug 3, 2017",16.00 - 23.22,"261,016",15.48,0.44,21.75,1.15,1.00 (5.46%),2017-12-28,17.78,"156,931"
HIFS,Hingham Inst For Svg,0,0,0,1,0,0,0,0,0,Financial,95,Savings & Loans,216.37,214.81 - 224.58,454.896M,"Jan 15, 2018",148.02 - 242.00,"5,532",18.51,0.87,,11.67,1.36 (0.68%),2018-01-04,217.01,"4,130"
HIG,Hartford Financial Services Group,0,0,1,0,0,1,0,0,0,Financial,"16,900",Property & Casualty Insurance,55.09,54.83 - 55.33,19.723B,"Feb 5, 2018",46.35 - 58.61,"2,571,800",42.05,0.68,60.71,1.32,1.00 (1.82%),2017-11-30,55.31,"2,041,565"
